Run,Strategy,StrategyName,Victory,Turns,EnemiesDefeated,ZoneBosses,PiperDefeated,ResourcesGathered,ColonyCardsPlayed,HeroesNeverInjured,TotalHeroes,DeckSize,ColonyDeckSize,Food,Materials,Currency,Score,Seed
37,0,ColonyFirst,False,3,5,0,False,5,3,8,8,18,12,0,0,0,720,32800375
38,1,ZergRush,False,4,10,1,False,8,4,16,16,24,6,0,0,0,850,32802187
39,2,SpeedScouts,False,4,5,0,False,0,4,8,8,22,8,0,0,0,660,32805015
40,3,FortressColony,False,5,3,0,False,0,5,6,6,14,16,0,0,0,605,32806750
41,4,PiperBeeline,False,6,4,1,False,7,6,10,10,22,8,0,0,0,715,32808812
42,5,BalancedAdaptive,False,4,4,0,False,0,4,8,8,20,10,0,0,0,650,32811484
43,0,ColonyFirst,False,2,3,0,False,5,2,8,8,18,12,0,0,0,735,32813281
44,1,ZergRush,False,4,13,1,False,6,4,16,16,24,6,0,0,0,870,32814921
45,2,SpeedScouts,False,4,3,0,False,0,4,8,8,22,8,0,0,0,640,32817843
46,3,FortressColony,False,5,5,0,False,0,5,6,6,14,16,0,0,0,625,32819531
47,4,PiperBeeline,False,2,7,1,False,3,2,10,10,22,8,0,0,0,865,32821640
48,5,BalancedAdaptive,False,4,5,0,False,2,4,8,8,20,10,0,0,0,670,32823343
49,0,ColonyFirst,False,4,6,0,False,8,4,8,8,18,12,0,0,0,710,32825234
50,1,ZergRush,False,5,10,2,False,10,5,16,16,24,6,0,0,0,925,32827546
51,2,SpeedScouts,False,4,4,0,False,0,4,8,8,22,8,0,0,0,650,32830531
52,3,FortressColony,False,6,5,0,False,5,6,6,6,14,16,0,0,0,615,32832406
53,4,PiperBeeline,False,4,7,1,False,5,4,10,10,22,8,0,0,0,805,32834843
54,5,BalancedAdaptive,False,5,5,0,False,3,5,8,8,20,10,0,0,0,640,32837156
55,0,ColonyFirst,False,2,2,0,False,5,2,8,8,18,12,0,0,0,725,32839406
56,1,ZergRush,False,5,7,1,False,12,5,16,16,24,6,0,0,0,805,32841140
57,2,SpeedScouts,False,4,3,0,False,0,4,8,8,22,8,0,0,0,640,32844281
58,3,FortressColony,False,6,6,0,False,4,6,6,6,14,16,0,0,0,620,32846078
59,4,PiperBeeline,False,2,4,1,False,3,2,10,10,22,8,0,0,0,835,32848453
60,5,BalancedAdaptive,False,3,4,0,False,0,3,8,8,20,10,0,0,0,685,32850312
61,0,ColonyFirst,False,5,4,0,False,6,5,8,8,18,12,0,0,0,645,32851953
62,1,ZergRush,False,7,7,2,False,6,6,16,16,24,6,0,0,0,790,32854390
63,2,SpeedScouts,False,4,3,0,False,0,4,8,8,22,8,0,0,0,640,32857765
64,3,FortressColony,False,5,3,0,False,0,5,6,6,14,16,0,0,0,605,32859625
65,4,PiperBeeline,False,2,7,0,False,2,2,10,10,22,8,0,0,0,760,32861687
66,5,BalancedAdaptive,False,4,3,0,False,3,4,8,8,20,10,0,0,0,655,32863562
67,0,ColonyFirst,False,5,4,0,False,3,5,8,8,18,12,0,0,0,630,32865625
68,1,ZergRush,False,5,12,2,False,7,5,16,16,24,6,0,0,0,930,32868046
69,2,SpeedScouts,False,2,1,0,False,4,2,8,8,22,8,0,0,0,710,32871312
70,3,FortressColony,False,5,4,0,False,2,5,6,6,14,16,0,0,0,625,32872750
71,4,PiperBeeline,False,3,6,0,False,1,3,10,10,22,8,0,0,0,710,32874781
72,5,BalancedAdaptive,False,2,3,0,False,0,2,8,8,20,10,0,0,0,710,32876718
73,0,ColonyFirst,False,2,3,1,False,0,2,8,8,18,12,0,0,0,810,32878156
74,1,ZergRush,False,4,10,1,False,8,4,16,16,24,6,0,0,0,850,32879750
75,2,SpeedScouts,False,4,4,0,False,0,4,8,8,22,8,0,0,0,650,32882578
76,3,FortressColony,False,5,5,0,False,2,5,6,6,14,16,0,0,0,635,32884437
77,4,PiperBeeline,False,2,5,1,False,1,2,10,10,22,8,0,0,0,835,32886562
78,5,BalancedAdaptive,False,7,5,0,False,8,7,8,8,20,10,0,0,0,595,32888437
79,0,ColonyFirst,False,4,4,0,False,3,4,8,8,18,12,0,0,0,665,32891000
80,1,ZergRush,False,5,12,0,False,7,5,16,16,24,6,0,0,0,730,32893125
81,2,SpeedScouts,False,4,3,0,False,0,4,8,8,22,8,0,0,0,640,32896546
82,3,FortressColony,False,5,3,0,False,3,5,6,6,14,16,0,0,0,620,32898312
83,4,PiperBeeline,False,4,4,0,False,7,4,10,10,22,8,0,0,0,685,32900406
84,5,BalancedAdaptive,False,4,3,0,False,0,4,8,8,20,10,0,0,0,640,32903250
85,0,ColonyFirst,False,5,3,0,False,4,5,8,8,18,12,0,0,0,625,32905125
86,1,ZergRush,False,6,12,1,False,14,6,16,16,24,6,0,0,0,830,32907390
87,2,SpeedScouts,False,3,3,0,False,5,3,8,8,22,8,0,0,0,700,32911093
88,3,FortressColony,False,5,3,0,False,2,5,6,6,14,16,0,0,0,615,32912906
89,4,PiperBeeline,False,4,9,1,False,5,4,10,10,22,8,0,0,0,825,32914953
90,5,BalancedAdaptive,False,6,2,1,False,8,6,8,8,20,10,0,0,0,700,32917484
91,0,ColonyFirst,False,2,5,0,False,3,2,8,8,18,12,0,0,0,745,32919968
92,1,ZergRush,False,4,5,0,False,13,4,16,16,24,6,0,0,0,725,32921593
93,2,SpeedScouts,False,5,2,0,False,2,5,8,8,22,8,0,0,0,605,32924328
94,3,FortressColony,False,7,6,0,False,5,7,6,6,14,16,0,0,0,590,32926375
95,4,PiperBeeline,False,4,7,1,False,6,4,10,10,22,8,0,0,0,810,32929062
96,5,BalancedAdaptive,False,4,5,0,False,0,4,8,8,20,10,0,0,0,660,32931593
97,0,ColonyFirst,False,4,4,1,False,3,4,8,8,18,12,0,0,0,765,32933468
98,1,ZergRush,False,5,11,2,False,8,5,16,16,24,6,0,0,0,925,32935515
99,2,SpeedScouts,False,1,1,0,False,0,1,8,8,22,8,0,0,0,725,32938484
100,3,FortressColony,False,7,2,0,False,1,7,6,6,14,16,0,0,0,530,32939609
101,4,PiperBeeline,False,3,7,1,False,2,3,10,10,22,8,0,0,0,825,32941921
102,5,BalancedAdaptive,False,4,3,0,False,0,4,8,8,20,10,0,0,0,640,32944109
103,0,ColonyFirst,False,3,3,0,False,1,3,8,8,18,12,0,0,0,680,32945921
104,1,ZergRush,False,7,11,2,False,11,6,16,16,24,6,0,0,0,855,32947750
105,2,SpeedScouts,False,4,3,0,False,0,4,8,8,22,8,0,0,0,640,32951843
106,3,FortressColony,False,5,5,0,False,2,5,6,6,14,16,0,0,0,635,32953640
107,4,PiperBeeline,False,3,7,1,False,5,3,10,10,22,8,0,0,0,840,32955828
108,5,BalancedAdaptive,False,2,3,0,False,1,2,8,8,20,10,0,0,0,715,32958046
109,0,ColonyFirst,False,4,6,0,False,6,4,8,8,18,12,0,0,0,700,32959453
110,1,ZergRush,False,4,12,1,False,9,4,16,16,24,6,0,0,0,875,32961562
111,2,SpeedScouts,False,4,3,0,False,0,4,8,8,22,8,0,0,0,640,32964468
112,3,FortressColony,False,5,6,0,False,2,5,6,6,14,16,0,0,0,645,32966468
113,4,PiperBeeline,False,3,5,1,False,4,3,10,10,22,8,0,0,0,815,32968609
114,5,BalancedAdaptive,False,4,3,1,False,0,4,8,8,20,10,0,0,0,740,32970843
115,0,ColonyFirst,False,3,4,0,False,1,3,8,8,18,12,0,0,0,690,32972640
116,1,ZergRush,False,7,12,1,False,8,6,16,16,24,6,0,0,0,750,32974484
117,2,SpeedScouts,False,4,4,0,False,0,4,8,8,22,8,0,0,0,650,32978359
118,3,FortressColony,False,6,5,0,False,3,6,6,6,14,16,0,0,0,605,32980265
119,4,PiperBeeline,False,5,5,2,False,6,5,10,10,22,8,0,0,0,855,32982750
120,5,BalancedAdaptive,False,4,4,0,False,0,4,8,8,20,10,0,0,0,650,32985265
121,0,ColonyFirst,False,4,7,0,False,4,4,8,8,18,12,0,0,0,700,32987250
122,1,ZergRush,False,4,11,2,False,7,4,16,16,24,6,0,0,0,955,32989437
123,2,SpeedScouts,False,4,3,0,False,0,4,8,8,22,8,0,0,0,640,32992390
124,3,FortressColony,False,5,4,0,False,3,5,6,6,14,16,0,0,0,630,32994343
125,4,PiperBeeline,False,4,6,0,False,7,4,10,10,22,8,0,0,0,705,32996546
126,5,BalancedAdaptive,False,4,3,1,False,0,4,8,8,20,10,0,0,0,740,32999312
127,0,ColonyFirst,False,5,8,0,False,6,5,8,8,18,12,0,0,0,685,33001156
128,1,ZergRush,False,4,9,2,False,6,4,16,16,24,6,0,0,0,930,33003687
129,2,SpeedScouts,False,6,5,0,False,13,6,8,8,22,8,0,0,0,655,33006671
130,3,FortressColony,False,5,3,0,False,0,5,6,6,14,16,0,0,0,605,33009390
131,4,PiperBeeline,False,5,8,1,False,5,5,10,10,22,8,0,0,0,780,33011578
132,5,BalancedAdaptive,False,4,6,0,False,0,4,8,8,20,10,0,0,0,670,33014343
133,0,ColonyFirst,False,4,3,1,False,7,4,8,8,18,12,0,0,0,775,33016187
134,1,ZergRush,False,8,8,3,False,11,6,16,16,24,6,0,0,0,875,33018484
135,2,SpeedScouts,False,4,5,0,False,0,4,8,8,22,8,0,0,0,660,33023093
136,3,FortressColony,False,6,4,0,False,5,6,6,6,14,16,0,0,0,605,33025109
137,4,PiperBeeline,False,3,8,1,False,3,3,10,10,22,8,0,0,0,840,33027578
138,5,BalancedAdaptive,False,4,5,0,False,0,4,8,8,20,10,0,0,0,660,33029828
139,0,ColonyFirst,False,4,7,0,False,3,4,8,8,18,12,0,0,0,695,33031625
140,1,ZergRush,False,9,15,1,False,11,6,16,16,24,6,0,0,0,695,33033890
141,2,SpeedScouts,False,4,5,0,False,0,4,8,8,22,8,0,0,0,660,33038703
142,3,FortressColony,False,5,2,0,False,0,5,6,6,14,16,0,0,0,595,33040828
143,4,PiperBeeline,False,5,6,1,False,3,5,10,10,22,8,0,0,0,750,33043078
144,5,BalancedAdaptive,False,4,4,0,False,0,4,8,8,20,10,0,0,0,650,33045984
145,0,ColonyFirst,False,4,7,0,False,4,4,8,8,18,12,0,0,0,700,33047953
146,1,ZergRush,False,4,9,2,False,3,4,16,16,24,6,0,0,0,915,33050312
147,2,SpeedScouts,False,2,0,0,False,3,2,8,8,22,8,0,0,0,695,33053093
148,3,FortressColony,False,6,6,0,False,3,6,6,6,14,16,0,0,0,615,33054656
149,4,PiperBeeline,False,4,6,1,False,3,4,10,10,22,8,0,0,0,785,33057156
150,5,BalancedAdaptive,False,4,7,0,False,0,4,8,8,20,10,0,0,0,680,33059578
151,0,ColonyFirst,False,3,6,0,False,1,3,8,8,18,12,0,0,0,710,33061609
152,1,ZergRush,False,4,11,1,False,11,4,16,16,24,6,0,0,0,875,33063656
153,2,SpeedScouts,False,4,3,0,False,0,4,8,8,22,8,0,0,0,640,33067515
154,3,FortressColony,False,5,4,0,False,0,5,6,6,14,16,0,0,0,615,33069765
155,4,PiperBeeline,False,2,9,0,False,1,2,10,10,22,8,0,0,0,775,33072125
156,5,BalancedAdaptive,False,4,7,0,False,0,4,8,8,20,10,0,0,0,680,33074203
157,0,ColonyFirst,False,4,6,0,False,2,4,8,8,18,12,0,0,0,680,33076343
158,1,ZergRush,False,5,9,1,False,10,5,16,16,24,6,0,0,0,815,33078796
159,2,SpeedScouts,False,4,4,0,False,0,4,8,8,22,8,0,0,0,650,33082437
160,3,FortressColony,False,5,4,0,False,3,5,6,6,14,16,0,0,0,630,33084437
161,4,PiperBeeline,False,1,8,1,False,0,1,10,10,22,8,0,0,0,895,33086828
162,5,BalancedAdaptive,False,7,5,0,False,8,7,8,8,20,10,0,0,0,595,33088546
163,0,ColonyFirst,False,3,5,1,False,1,3,8,8,18,12,0,0,0,800,33091906
164,1,ZergRush,False,5,7,1,False,9,5,16,16,24,6,0,0,0,790,33094093
165,2,SpeedScouts,False,4,4,0,False,0,4,8,8,22,8,0,0,0,650,33097640
166,3,FortressColony,False,7,6,0,False,6,7,6,6,14,16,0,0,0,595,33099687
167,4,PiperBeeline,False,4,5,2,False,3,4,10,10,22,8,0,0,0,875,33103187
168,5,BalancedAdaptive,False,4,4,0,False,0,4,8,8,20,10,0,0,0,650,33105828
169,0,ColonyFirst,False,3,5,0,False,2,3,8,8,18,12,0,0,0,705,33107828
170,1,ZergRush,False,3,8,1,False,6,3,16,16,24,6,0,0,0,855,33109984
171,2,SpeedScouts,False,1,1,0,False,2,1,8,8,22,8,0,0,0,735,33112656
172,3,FortressColony,False,5,6,0,False,0,5,6,6,14,16,0,0,0,635,33113890
173,4,PiperBeeline,False,4,4,1,False,7,4,10,10,22,8,0,0,0,785,33116515
174,5,BalancedAdaptive,False,4,4,0,False,0,4,8,8,20,10,0,0,0,650,33119281
175,0,ColonyFirst,False,5,6,0,False,5,5,8,8,18,12,0,0,0,660,33121203
176,1,ZergRush,False,4,10,1,False,7,4,16,16,24,6,0,0,0,845,33124062
177,2,SpeedScouts,False,4,3,0,False,0,4,8,8,22,8,0,0,0,640,33127359
178,3,FortressColony,False,5,4,0,False,1,5,6,6,14,16,0,0,0,620,33129406
179,4,PiperBeeline,False,4,7,1,False,6,4,10,10,22,8,0,0,0,810,33131921
180,5,BalancedAdaptive,False,3,2,0,False,2,3,8,8,20,10,0,0,0,675,33134953
181,0,ColonyFirst,False,4,5,0,False,4,4,8,8,18,12,0,0,0,680,33136875
182,1,ZergRush,False,4,10,1,False,5,4,16,16,24,6,0,0,0,835,33139421
183,2,SpeedScouts,False,4,4,0,False,3,4,8,8,22,8,0,0,0,665,33142578
184,3,FortressColony,False,5,5,0,False,1,5,6,6,14,16,0,0,0,630,33145031
185,4,PiperBeeline,False,4,5,1,False,5,4,10,10,22,8,0,0,0,785,33147546
186,5,BalancedAdaptive,False,4,4,0,False,1,4,8,8,20,10,0,0,0,655,33150265
187,0,ColonyFirst,False,4,5,0,False,1,4,8,8,18,12,0,0,0,665,33152531
188,1,ZergRush,False,5,9,1,False,17,5,16,16,24,6,0,0,0,850,33155046
189,2,SpeedScouts,False,1,1,0,False,0,1,8,8,22,8,0,0,0,725,33159156
190,3,FortressColony,False,5,1,0,False,0,5,6,6,14,16,0,0,0,585,33160421
191,4,PiperBeeline,False,2,7,1,False,2,2,10,10,22,8,0,0,0,860,33162968
192,5,BalancedAdaptive,False,4,4,0,False,0,4,8,8,20,10,0,0,0,650,33165062
193,0,ColonyFirst,False,6,7,0,False,8,6,8,8,18,12,0,0,0,650,33167265
194,1,ZergRush,False,2,7,1,False,8,2,16,16,24,6,0,0,0,890,33170953
195,2,SpeedScouts,False,4,3,0,False,0,4,8,8,22,8,0,0,0,640,33173718
196,3,FortressColony,False,7,5,0,False,5,7,6,6,14,16,0,0,0,580,33175921
197,4,PiperBeeline,False,4,7,2,False,5,4,10,10,22,8,0,0,0,905,33179234
198,5,BalancedAdaptive,False,5,2,0,False,5,5,8,8,20,10,0,0,0,620,33182015
199,0,ColonyFirst,False,3,5,0,False,4,3,8,8,18,12,0,0,0,715,33184593
200,1,ZergRush,False,9,13,1,False,15,6,16,16,24,6,0,0,0,695,33186625
201,2,SpeedScouts,False,3,2,0,False,1,3,8,8,22,8,0,0,0,670,33192265
202,3,FortressColony,False,5,3,0,False,0,5,6,6,14,16,0,0,0,605,33194390
203,4,PiperBeeline,False,4,4,1,False,5,4,10,10,22,8,0,0,0,775,33196984
204,5,BalancedAdaptive,False,2,2,0,False,1,2,8,8,20,10,0,0,0,705,33200078
205,0,ColonyFirst,False,2,8,0,False,0,2,8,8,18,12,0,0,0,760,33201828
206,1,ZergRush,False,6,14,1,False,6,6,16,16,24,6,0,0,0,810,33203828
207,2,SpeedScouts,False,4,3,0,False,0,4,8,8,22,8,0,0,0,640,33207843
208,3,FortressColony,False,5,4,0,False,1,5,6,6,14,16,0,0,0,620,33210265
209,4,PiperBeeline,False,4,5,1,False,10,4,10,10,22,8,0,0,0,810,33212921
210,5,BalancedAdaptive,False,4,5,0,False,0,4,8,8,20,10,0,0,0,660,33216031
211,0,ColonyFirst,False,4,8,0,False,5,4,8,8,18,12,0,0,0,715,33218328
212,1,ZergRush,False,5,10,2,False,9,5,16,16,24,6,0,0,0,920,33221109
213,2,SpeedScouts,False,4,2,0,False,0,4,8,8,22,8,0,0,0,630,33224765
214,3,FortressColony,False,5,4,0,False,5,5,6,6,14,16,0,0,0,640,33227015
215,4,PiperBeeline,False,4,7,1,False,4,4,10,10,22,8,0,0,0,800,33229781
216,5,BalancedAdaptive,False,5,6,0,False,3,5,8,8,20,10,0,0,0,650,33232593
217,0,ColonyFirst,False,3,6,0,False,3,3,8,8,18,12,0,0,0,720,33235296
218,1,ZergRush,False,4,9,2,False,9,4,16,16,24,6,0,0,0,945,33237734
219,2,SpeedScouts,False,4,5,0,False,0,4,8,8,22,8,0,0,0,660,33241015
220,3,FortressColony,False,5,2,0,False,0,5,6,6,14,16,0,0,0,595,33243421
221,4,PiperBeeline,False,2,5,1,False,0,2,10,10,22,8,0,0,0,830,33246171
222,5,BalancedAdaptive,False,5,4,0,False,3,5,8,8,20,10,0,0,0,630,33248421
223,0,ColonyFirst,False,4,5,0,False,3,4,8,8,18,12,0,0,0,675,33251468
224,1,ZergRush,False,6,11,2,False,9,6,16,16,24,6,0,0,0,895,33254203
225,2,SpeedScouts,False,4,4,0,False,1,4,8,8,22,8,0,0,0,655,33258265
226,3,FortressColony,False,6,2,0,False,4,6,6,6,14,16,0,0,0,580,33260890
227,4,PiperBeeline,False,4,6,1,False,5,4,10,10,22,8,0,0,0,795,33263828
228,5,BalancedAdaptive,False,4,4,0,False,0,4,8,8,20,10,0,0,0,650,33267046
229,0,ColonyFirst,False,3,7,0,False,3,3,8,8,18,12,0,0,0,730,33269625
230,1,ZergRush,False,5,14,2,False,7,5,16,16,24,6,0,0,0,950,33272046
231,2,SpeedScouts,False,4,6,0,False,2,4,8,8,22,8,0,0,0,680,33275703
232,3,FortressColony,False,5,5,0,False,0,5,6,6,14,16,0,0,0,625,33278109
233,4,PiperBeeline,False,4,7,0,False,5,4,10,10,22,8,0,0,0,705,33280984
234,5,BalancedAdaptive,False,4,4,0,False,1,4,8,8,20,10,0,0,0,655,33284171
235,0,ColonyFirst,False,4,3,0,False,5,4,8,8,18,12,0,0,0,665,33286921
236,1,ZergRush,False,6,18,1,False,10,6,16,16,24,6,0,0,0,870,33289671
237,2,SpeedScouts,False,4,4,0,False,0,4,8,8,22,8,0,0,0,650,33294140
238,3,FortressColony,False,6,3,0,False,4,6,6,6,14,16,0,0,0,590,33296656
239,4,PiperBeeline,False,2,6,1,False,3,2,10,10,22,8,0,0,0,855,33299875
240,5,BalancedAdaptive,False,4,3,0,False,0,4,8,8,20,10,0,0,0,640,33302265
241,0,ColonyFirst,False,5,4,0,False,8,5,8,8,18,12,0,0,0,655,33304734
242,1,ZergRush,False,4,14,1,False,5,4,16,16,24,6,0,0,0,875,33308062
243,2,SpeedScouts,False,4,3,0,False,0,4,8,8,22,8,0,0,0,640,33311640
244,3,FortressColony,False,5,2,0,False,0,5,6,6,14,16,0,0,0,595,33314218
245,4,PiperBeeline,False,5,8,1,False,6,5,10,10,22,8,0,0,0,785,33317078
246,5,BalancedAdaptive,False,1,1,0,False,0,1,8,8,20,10,0,0,0,725,33320609
247,0,ColonyFirst,False,3,6,0,False,1,3,8,8,18,12,0,0,0,710,33322171
248,1,ZergRush,False,4,14,1,False,6,4,16,16,24,6,0,0,0,880,33324734
249,2,SpeedScouts,False,4,4,0,False,3,4,8,8,22,8,0,0,0,665,33328375
250,3,FortressColony,False,5,3,0,False,3,5,6,6,14,16,0,0,0,620,33331171
251,4,PiperBeeline,False,2,4,1,False,4,2,10,10,22,8,0,0,0,840,33334171
252,5,BalancedAdaptive,False,4,6,0,False,0,4,8,8,20,10,0,0,0,670,33336625
253,0,ColonyFirst,False,2,4,0,False,4,2,8,8,18,12,0,0,0,740,33339281
254,1,ZergRush,False,5,11,1,False,11,5,16,16,24,6,0,0,0,840,33341468
255,2,SpeedScouts,False,4,3,0,False,0,4,8,8,22,8,0,0,0,640,33345609
256,3,FortressColony,False,5,4,0,False,0,5,6,6,14,16,0,0,0,615,33348265
257,4,PiperBeeline,False,4,7,1,False,5,4,10,10,22,8,0,0,0,805,33351328
258,5,BalancedAdaptive,False,4,6,0,False,0,4,8,8,20,10,0,0,0,670,33354562
259,0,ColonyFirst,False,5,7,0,False,4,5,8,8,18,12,0,0,0,665,33357234
260,1,ZergRush,False,5,7,2,False,8,5,16,16,24,6,0,0,0,885,33360625
261,2,SpeedScouts,False,4,3,0,False,0,4,8,8,22,8,0,0,0,640,33364968
262,3,FortressColony,False,5,5,0,False,0,5,6,6,14,16,0,0,0,625,33367671
263,4,PiperBeeline,False,4,5,1,False,6,4,10,10,22,8,0,0,0,790,33370703
264,5,BalancedAdaptive,False,4,5,0,False,0,4,8,8,20,10,0,0,0,660,33374109
265,0,ColonyFirst,False,2,5,0,False,4,2,8,8,18,12,0,0,0,750,33376937
266,1,ZergRush,False,4,8,1,False,10,4,16,16,24,6,0,0,0,840,33379281
267,2,SpeedScouts,False,4,5,0,False,0,4,8,8,22,8,0,0,0,660,33383375
268,3,FortressColony,False,5,3,0,False,2,5,6,6,14,16,0,0,0,615,33386265
269,4,PiperBeeline,False,4,4,1,False,6,4,10,10,22,8,0,0,0,780,33389250
270,5,BalancedAdaptive,False,4,5,0,False,0,4,8,8,20,10,0,0,0,660,33392640
271,0,ColonyFirst,False,3,7,0,False,3,3,8,8,18,12,0,0,0,730,33395375
272,1,ZergRush,False,5,10,1,False,5,5,16,16,24,6,0,0,0,800,33398250
273,2,SpeedScouts,False,4,5,0,False,0,4,8,8,22,8,0,0,0,660,33402593
274,3,FortressColony,False,5,2,0,False,0,5,6,6,14,16,0,0,0,595,33405500
275,4,PiperBeeline,False,2,5,1,False,4,2,10,10,22,8,0,0,0,850,33408406
276,5,BalancedAdaptive,False,4,7,0,False,0,4,8,8,20,10,0,0,0,680,33411000
277,0,ColonyFirst,False,5,8,0,False,8,5,8,8,18,12,0,0,0,695,33413828
278,1,ZergRush,False,5,9,2,False,4,5,16,16,24,6,0,0,0,885,33417531
279,2,SpeedScouts,False,4,2,0,False,0,4,8,8,22,8,0,0,0,630,33421125
280,3,FortressColony,False,5,2,0,False,0,5,6,6,14,16,0,0,0,595,33424125
281,4,PiperBeeline,False,4,5,1,False,7,4,10,10,22,8,0,0,0,795,33427312
282,5,BalancedAdaptive,False,4,5,0,False,0,4,8,8,20,10,0,0,0,660,33431078
283,0,ColonyFirst,False,2,3,0,False,0,2,8,8,18,12,0,0,0,710,33433843
284,1,ZergRush,False,9,11,1,False,14,6,16,16,24,6,0,0,0,670,33436171
285,2,SpeedScouts,False,4,3,0,False,0,4,8,8,22,8,0,0,0,640,33442093
286,3,FortressColony,False,5,4,0,False,0,5,6,6,14,16,0,0,0,615,33444921
287,4,PiperBeeline,False,5,6,1,False,4,5,10,10,22,8,0,0,0,755,33448203
288,5,BalancedAdaptive,False,4,6,0,False,0,4,8,8,20,10,0,0,0,670,33452093
289,0,ColonyFirst,False,4,3,0,False,3,4,8,8,18,12,0,0,0,655,33454937
290,1,ZergRush,False,7,10,2,False,9,6,16,16,24,6,0,0,0,835,33458109
291,2,SpeedScouts,False,2,1,0,False,4,2,8,8,22,8,0,0,0,710,33463062
292,3,FortressColony,False,5,2,0,False,0,5,6,6,14,16,0,0,0,595,33465296
293,4,PiperBeeline,False,4,6,1,False,6,4,10,10,22,8,0,0,0,800,33468546
294,5,BalancedAdaptive,False,4,4,0,False,0,4,8,8,20,10,0,0,0,650,33472093
295,0,ColonyFirst,False,4,6,0,False,5,4,8,8,18,12,0,0,0,695,33475000
296,1,ZergRush,False,7,15,2,False,14,6,16,16,24,6,0,0,0,910,33478453
297,2,SpeedScouts,False,2,1,0,False,2,2,8,8,22,8,0,0,0,700,33483890
298,3,FortressColony,False,7,1,0,False,1,7,6,6,14,16,0,0,0,520,33486250
299,4,PiperBeeline,False,4,6,0,False,5,4,10,10,22,8,0,0,0,695,33489859
300,5,BalancedAdaptive,False,4,3,0,False,0,4,8,8,20,10,0,0,0,640,33493734
301,0,ColonyFirst,False,4,4,0,False,5,4,8,8,18,12,0,0,0,675,33496703
