Generation,BestFitness,AvgFitness,WorstFitness,Victories,AllTimeBest,BestHeroes,BestColony,BestDeckSize,BestMaxDeploy,BestFoodBuffer,BestDeployStart,BestGroupSize,BestPiperRush,BestFoodThreshold,ElapsedSec
80,6144,2290,693,10,17271,15,4,15,1,0.32,0,3,9,11.5,2052.2
81,7067,2396,664,14,17271,15,4,15,1,0.32,0,3,9,11.5,2075.8
82,10804,2467,677,12,17271,15,4,15,1,0.32,0,3,9,11.5,2100.5
83,8393,2487,856,20,17271,15,4,15,1,0.32,0,3,9,11.5,2125.8
84,8914,2436,722,14,17271,15,4,15,1,0.32,0,3,9,11.5,2151.1
85,9696,2311,694,11,17271,15,4,15,1,0.32,0,3,9,11.5,2176.0
86,7021,2381,746,11,17271,15,4,15,1,0.32,0,3,9,11.5,2201.3
87,7325,2314,677,12,17271,15,4,15,1,0.32,0,3,9,11.5,2226.1
88,9539,2224,753,10,17271,15,4,15,1,0.32,0,3,9,11.5,2250.3
89,7163,2280,801,11,17271,15,4,15,1,0.32,0,3,9,11.5,2274.5
90,11411,2498,875,17,17271,15,4,15,1,0.32,0,3,9,11.5,2299.4
91,9082,2383,752,12,17271,15,4,15,1,0.32,0,3,9,11.5,2323.6
92,10253,2595,773,15,17271,15,4,15,1,0.32,0,3,9,11.5,2348.9
93,13409,2572,738,18,17271,15,4,15,1,0.32,0,3,9,11.5,2373.0
94,6155,2157,655,7,17271,15,4,15,1,0.32,0,3,9,11.5,2395.7
95,8559,2377,704,10,17271,15,4,15,1,0.32,0,3,9,11.5,2420.2
96,8323,2643,857,18,17271,15,4,15,1,0.32,0,3,9,11.5,2446.3
97,9294,2565,743,16,17271,15,4,15,1,0.32,0,3,9,11.5,2471.3
98,10744,2292,666,7,17271,15,4,15,1,0.32,0,3,9,11.5,2496.0
99,8122,2342,666,11,17271,15,4,15,1,0.32,0,3,9,11.5,2521.1
100,13774,2591,670,15,17271,15,4,15,1,0.32,0,3,9,11.5,2546.8
101,8678,2586,791,18,17271,15,4,15,1,0.32,0,3,9,11.5,2572.3
102,6549,2373,763,14,17271,15,4,15,1,0.32,0,3,9,11.5,2597.4
103,9060,2535,843,14,17271,15,4,15,1,0.32,0,3,9,11.5,2623.2
104,9248,2367,818,11,17271,15,4,15,1,0.32,0,3,9,11.5,2648.3
105,10845,2490,731,16,17271,15,4,15,1,0.32,0,3,9,11.5,2673.6
106,7424,2377,738,12,17271,15,4,15,1,0.32,0,3,9,11.5,2698.5
107,10771,2345,677,12,17271,15,4,15,1,0.32,0,3,9,11.5,2722.7
108,9434,2271,677,13,17271,15,4,15,1,0.32,0,3,9,11.5,2746.6
109,11356,2290,718,11,17271,15,4,15,1,0.32,0,3,9,11.5,2770.5
110,7401,2275,629,8,17271,15,4,15,1,0.32,0,3,9,11.5,2796.2
111,9784,2508,629,12,17271,15,4,15,1,0.32,0,3,9,11.5,2822.0
112,9040,2422,748,11,17271,15,4,15,1,0.32,0,3,9,11.5,2846.4
113,9954,2441,822,10,17271,15,4,15,1,0.32,0,3,9,11.5,2872.7
114,9225,2487,866,17,17271,15,4,15,1,0.32,0,3,9,11.5,2898.9
115,9510,2325,747,11,17271,15,4,15,1,0.32,0,3,9,11.5,2925.1
116,8248,2374,746,14,17271,15,4,15,1,0.32,0,3,9,11.5,2950.1
117,8379,2329,803,11,17271,15,4,15,1,0.32,0,3,9,11.5,2975.4
118,8410,2389,677,12,17271,15,4,15,1,0.32,0,3,9,11.5,3000.7
119,10565,2529,761,17,17271,15,4,15,1,0.32,0,3,9,11.5,3026.2
120,7996,2383,908,9,17271,15,4,15,1,0.32,0,3,9,11.5,3051.4
121,11867,2330,599,11,17271,15,4,15,1,0.32,0,3,9,11.5,3076.4
122,10761,2544,849,14,17271,15,4,15,1,0.32,0,3,9,11.5,3102.0
123,7603,2281,674,6,17271,15,4,15,1,0.32,0,3,9,11.5,3127.2
124,9069,2392,630,15,17271,15,4,15,1,0.32,0,3,9,11.5,3152.2
125,9941,2593,698,19,17271,15,4,15,1,0.32,0,3,9,11.5,3178.4
126,8334,2399,643,12,17271,15,4,15,1,0.32,0,3,9,11.5,3204.2
127,9293,2322,655,13,17271,15,4,15,1,0.32,0,3,9,11.5,3228.9
128,8630,2365,759,10,17271,15,4,15,1,0.32,0,3,9,11.5,3254.5
129,10162,2410,700,10,17271,15,4,15,1,0.32,0,3,9,11.5,3279.9
130,10353,2325,758,10,17271,15,4,15,1,0.32,0,3,9,11.5,3305.4
131,8486,2396,634,15,17271,15,4,15,1,0.32,0,3,9,11.5,3330.2
132,7180,2105,634,5,17271,15,4,15,1,0.32,0,3,9,11.5,3354.9
133,13078,2383,737,14,17271,15,4,15,1,0.32,0,3,9,11.5,3379.6
134,8752,2383,717,18,17271,15,4,15,1,0.32,0,3,9,11.5,3404.2
135,7608,2244,790,13,17271,15,4,15,1,0.32,0,3,9,11.5,3427.7
136,10101,2442,779,15,17271,15,4,15,1,0.32,0,3,9,11.5,3452.2
137,7494,2640,790,19,17271,15,4,15,1,0.32,0,3,9,11.5,3479.4
138,7818,2357,663,9,17271,15,4,15,1,0.32,0,3,9,11.5,3505.0
139,9787,2535,604,23,17271,15,4,15,1,0.32,0,3,9,11.5,3530.3
140,13453,2496,775,15,17271,15,4,15,1,0.32,0,3,9,11.5,3556.6
141,13505,2418,709,13,17271,15,4,15,1,0.32,0,3,9,11.5,3581.6
142,8747,2415,597,17,17271,15,4,15,1,0.32,0,3,9,11.5,3606.9
143,9350,2364,737,8,17271,15,4,15,1,0.32,0,3,9,11.5,3634.1
144,6453,2339,737,8,17271,15,4,15,1,0.32,0,3,9,11.5,3660.9
145,13112,2516,714,12,17271,15,4,15,1,0.32,0,3,9,11.5,3687.4
146,10030,2550,817,7,17271,15,4,15,1,0.32,0,3,9,11.5,3714.9
147,8787,2656,629,14,17271,15,4,15,1,0.32,0,3,9,11.5,3742.4
148,6843,2423,573,9,17271,15,4,15,1,0.32,0,3,9,11.5,3769.2
149,9620,2422,573,15,17271,15,4,15,1,0.32,0,3,9,11.5,3794.9
150,10042,2454,656,11,17271,15,4,15,1,0.32,0,3,9,11.5,3819.8
151,9206,2353,788,9,17271,15,4,15,1,0.32,0,3,9,11.5,3845.9
152,7701,2424,745,14,17271,15,4,15,1,0.32,0,3,9,11.5,3872.1
153,10077,2665,745,19,17271,15,4,15,1,0.32,0,3,9,11.5,3898.5
154,6816,2243,859,10,17271,15,4,15,1,0.32,0,3,9,11.5,3923.4
155,10958,2550,828,14,17271,15,4,15,1,0.32,0,3,9,11.5,3950.5
156,9911,2284,738,8,17271,15,4,15,1,0.32,0,3,9,11.5,3974.4
157,7362,2318,649,10,17271,15,4,15,1,0.32,0,3,9,11.5,3999.4
158,9996,2268,700,5,17271,15,4,15,1,0.32,0,3,9,11.5,4024.9
159,11480,2458,700,17,17271,15,4,15,1,0.32,0,3,9,11.5,4050.0
160,10882,2296,592,13,17271,15,4,15,1,0.32,0,3,9,11.5,4074.4
161,8392,2338,642,14,17271,15,4,15,1,0.32,0,3,9,11.5,4099.6
162,10261,2438,773,15,17271,15,4,15,1,0.32,0,3,9,11.5,4124.4
163,9798,2516,649,16,17271,15,4,15,1,0.32,0,3,9,11.5,4149.5
164,10432,2482,829,17,17271,15,4,15,1,0.32,0,3,9,11.5,4174.4
165,8881,2360,857,11,17271,15,4,15,1,0.32,0,3,9,11.5,4200.0
166,8684,2365,702,15,17271,15,4,15,1,0.32,0,3,9,11.5,4224.9
167,9032,2443,621,13,17271,15,4,15,1,0.32,0,3,9,11.5,4250.4
168,7602,2448,645,18,17271,15,4,15,1,0.32,0,3,9,11.5,4275.0
169,11192,2482,717,14,17271,15,4,15,1,0.32,0,3,9,11.5,4300.1
170,12459,2326,774,9,17271,15,4,15,1,0.32,0,3,9,11.5,4324.8
171,9494,2479,802,8,17271,15,4,15,1,0.32,0,3,9,11.5,4351.6
172,11985,2580,784,14,17271,15,4,15,1,0.32,0,3,9,11.5,4378.6
173,7502,2506,606,12,17271,15,4,15,1,0.32,0,3,9,11.5,4404.7
174,7968,2508,593,11,17271,15,4,15,1,0.32,0,3,9,11.5,4430.5
175,11467,2479,698,11,17271,15,4,15,1,0.32,0,3,9,11.5,4456.8
176,8994,2497,886,15,17271,15,4,15,1,0.32,0,3,9,11.5,4483.1
177,7167,2323,720,7,17271,15,4,15,1,0.32,0,3,9,11.5,4507.3
178,12314,2500,720,18,17271,15,4,15,1,0.32,0,3,9,11.5,4532.5
179,9658,2477,755,12,17271,15,4,15,1,0.32,0,3,9,11.5,4557.8
180,10049,2564,783,15,17271,15,4,15,1,0.32,0,3,9,11.5,4583.2
181,8487,2484,808,15,17271,15,4,15,1,0.32,0,3,9,11.5,4608.7
182,8436,2590,758,13,17271,15,4,15,1,0.32,0,3,9,11.5,4634.4
183,8632,2393,753,7,17271,15,4,15,1,0.32,0,3,9,11.5,4659.6
184,6705,2288,708,9,17271,15,4,15,1,0.32,0,3,9,11.5,4683.6
185,6945,2371,722,15,17271,15,4,15,1,0.32,0,3,9,11.5,4708.0
186,9010,2548,722,17,17271,15,4,15,1,0.32,0,3,9,11.5,4733.8
187,11527,2828,668,25,17271,15,4,15,1,0.32,0,3,9,11.5,4760.6
188,12287,2393,636,14,17271,15,4,15,1,0.32,0,3,9,11.5,4785.9
189,8737,2353,732,12,17271,15,4,15,1,0.32,0,3,9,11.5,4809.5
190,16249,2497,813,15,17271,15,4,15,1,0.32,0,3,9,11.5,4834.7
191,8766,2635,724,23,17271,15,4,15,1,0.32,0,3,9,11.5,4859.1
192,8446,2433,836,13,17271,15,4,15,1,0.32,0,3,9,11.5,4883.1
193,10341,2514,707,19,17271,15,4,15,1,0.32,0,3,9,11.5,4908.3
194,6987,2583,705,22,17271,15,4,15,1,0.32,0,3,9,11.5,4933.7
195,12354,2533,797,15,17271,15,4,15,1,0.32,0,3,9,11.5,4959.4
196,11256,2727,793,22,17271,15,4,15,1,0.32,0,3,9,11.5,4985.2
197,8234,2343,687,14,17271,15,4,15,1,0.32,0,3,9,11.5,5009.7
198,9751,2466,837,12,17271,15,4,15,1,0.32,0,3,9,11.5,5034.9
199,13023,2429,687,13,17271,15,4,15,1,0.32,0,3,9,11.5,5059.5
