Generation,BestFitness,AvgFitness,WorstFitness,Victories,AllTimeBest,BestHeroes,BestColony,BestDeckSize,BestMaxDeploy,BestFoodBuffer,BestDeployStart,BestGroupSize,BestPiperRush,BestFoodThreshold,ElapsedSec
61,3044,1454,639,65,5092,11,13,22,7,0.00,0,1,7,9.9,2128.4
62,3727,1453,517,62,5092,11,13,22,7,0.00,0,1,7,9.9,2163.5
63,3103,1444,632,65,5092,11,13,22,7,0.00,0,1,7,9.9,2198.3
64,3849,1399,520,61,5092,11,13,22,7,0.00,0,1,7,9.9,2233.7
65,3752,1381,566,55,5092,11,13,22,7,0.00,0,1,7,9.9,2269.3
66,3943,1502,604,66,5092,11,13,22,7,0.00,0,1,7,9.9,2306.0
67,3801,1584,643,75,5092,11,13,22,7,0.00,0,1,7,9.9,2343.4
68,3274,1568,635,74,5092,11,13,22,7,0.00,0,1,7,9.9,2380.4
69,3474,1468,424,61,5092,11,13,22,7,0.00,0,1,7,9.9,2416.4
70,3577,1491,612,67,5092,11,13,22,7,0.00,0,1,7,9.9,2452.0
71,4688,1485,553,67,5092,11,13,22,7,0.00,0,1,7,9.9,2487.3
72,3420,1302,405,43,5092,11,13,22,7,0.00,0,1,7,9.9,2521.1
73,2977,1388,636,47,5092,11,13,22,7,0.00,0,1,7,9.9,2557.6
74,3504,1428,446,50,5092,11,13,22,7,0.00,0,1,7,9.9,2596.5
75,3787,1438,361,60,5092,11,13,22,7,0.00,0,1,7,9.9,2633.4
76,4849,1479,444,64,5092,11,13,22,7,0.00,0,1,7,9.9,2668.8
77,3080,1435,431,57,5092,11,13,22,7,0.00,0,1,7,9.9,2704.5
78,3569,1398,589,58,5092,11,13,22,7,0.00,0,1,7,9.9,2738.1
79,5016,1518,445,73,5092,11,13,22,7,0.00,0,1,7,9.9,2772.7
80,3200,1418,490,53,5092,11,13,22,7,0.00,0,1,7,9.9,2807.2
81,3877,1434,454,59,5092,11,13,22,7,0.00,0,1,7,9.9,2840.4
82,3620,1543,412,75,5092,11,13,22,7,0.00,0,1,7,9.9,2874.7
83,3132,1413,392,57,5092,11,13,22,7,0.00,0,1,7,9.9,2908.3
84,3484,1336,362,48,5092,11,13,22,7,0.00,0,1,7,9.9,2942.7
85,3143,1376,525,53,5092,11,13,22,7,0.00,0,1,7,9.9,2976.7
86,4005,1520,560,71,5092,11,13,22,7,0.00,0,1,7,9.9,3012.1
87,3955,1379,641,57,5092,11,13,22,7,0.00,0,1,7,9.9,3044.6
88,4057,1463,590,70,5092,11,13,22,7,0.00,0,1,7,9.9,3078.2
89,3865,1442,397,61,5092,11,13,22,7,0.00,0,1,7,9.9,3111.9
90,4052,1447,516,61,5092,11,13,22,7,0.00,0,1,7,9.9,3146.2
91,3130,1440,462,62,5092,11,13,22,7,0.00,0,1,7,9.9,3180.2
92,3620,1539,557,76,5092,11,13,22,7,0.00,0,1,7,9.9,3214.7
93,3920,1466,577,62,5092,11,13,22,7,0.00,0,1,7,9.9,3249.7
94,4832,1359,499,47,5092,11,13,22,7,0.00,0,1,7,9.9,3285.2
95,3761,1452,511,61,5092,11,13,22,7,0.00,0,1,7,9.9,3321.7
96,3267,1477,616,65,5092,11,13,22,7,0.00,0,1,7,9.9,3358.0
97,3283,1444,547,62,5092,11,13,22,7,0.00,0,1,7,9.9,3392.0
98,3903,1312,473,39,5092,11,13,22,7,0.00,0,1,7,9.9,3425.9
99,3971,1469,442,69,5092,11,13,22,7,0.00,0,1,7,9.9,3459.2
100,3788,1482,419,72,5092,11,13,22,7,0.00,0,1,7,9.9,3492.1
101,3869,1489,614,66,5092,11,13,22,7,0.00,0,1,7,9.9,3526.5
102,3313,1418,502,51,5092,11,13,22,7,0.00,0,1,7,9.9,3561.0
103,3654,1441,698,59,5092,11,13,22,7,0.00,0,1,7,9.9,3595.2
104,3794,1486,493,63,5092,11,13,22,7,0.00,0,1,7,9.9,3630.0
105,3639,1459,477,61,5092,11,13,22,7,0.00,0,1,7,9.9,3666.6
106,3067,1372,579,52,5092,11,13,22,7,0.00,0,1,7,9.9,3701.3
107,5043,1445,428,64,5092,11,13,22,7,0.00,0,1,7,9.9,3735.1
108,3877,1595,581,84,5092,11,13,22,7,0.00,0,1,7,9.9,3769.7
109,3991,1467,593,70,5092,11,13,22,7,0.00,0,1,7,9.9,3802.5
110,3992,1472,495,62,5092,11,13,22,7,0.00,0,1,7,9.9,3836.9
111,3843,1465,615,62,5092,11,13,22,7,0.00,0,1,7,9.9,3871.3
112,3911,1410,547,57,5092,11,13,22,7,0.00,0,1,7,9.9,3904.7
113,3086,1432,525,62,5092,11,13,22,7,0.00,0,1,7,9.9,3938.0
114,3886,1428,537,58,5092,11,13,22,7,0.00,0,1,7,9.9,3972.2
115,3986,1478,537,69,5092,11,13,22,7,0.00,0,1,7,9.9,4007.1
116,4549,1431,358,60,5092,11,13,22,7,0.00,0,1,7,9.9,4042.9
117,3212,1456,544,64,5092,11,13,22,7,0.00,0,1,7,9.9,4079.1
118,3653,1478,462,64,5092,11,13,22,7,0.00,0,1,7,9.9,4114.5
119,3259,1405,523,56,5092,11,13,22,7,0.00,0,1,7,9.9,4148.8
120,4052,1440,562,59,5092,11,13,22,7,0.00,0,1,7,9.9,4183.8
121,5058,1441,463,59,5092,11,13,22,7,0.00,0,1,7,9.9,4218.8
122,3112,1407,555,57,5092,11,13,22,7,0.00,0,1,7,9.9,4253.4
123,3716,1464,624,64,5092,11,13,22,7,0.00,0,1,7,9.9,4288.6
124,3705,1395,478,55,5092,11,13,22,7,0.00,0,1,7,9.9,4323.1
125,4691,1520,544,72,5092,11,13,22,7,0.00,0,1,7,9.9,4359.8
126,3306,1443,594,59,5092,11,13,22,7,0.00,0,1,7,9.9,4397.7
127,3300,1405,578,58,5092,11,13,22,7,0.00,0,1,7,9.9,4434.0
128,3737,1533,489,75,5092,11,13,22,7,0.00,0,1,7,9.9,4470.2
129,4608,1547,356,78,5092,11,13,22,7,0.00,0,1,7,9.9,4506.2
130,3777,1570,555,81,5092,11,13,22,7,0.00,0,1,7,9.9,4541.8
131,3858,1503,556,67,5092,11,13,22,7,0.00,0,1,7,9.9,4578.8
132,3905,1475,566,66,5092,11,13,22,7,0.00,0,1,7,9.9,4614.8
133,3480,1397,486,55,5092,11,13,22,7,0.00,0,1,7,9.9,4649.9
134,4163,1383,346,54,5092,11,13,22,7,0.00,0,1,7,9.9,4683.7
135,3599,1424,496,58,5092,11,13,22,7,0.00,0,1,7,9.9,4718.6
136,3855,1452,578,62,5092,11,13,22,7,0.00,0,1,7,9.9,4755.7
137,4242,1481,472,62,5092,11,13,22,7,0.00,0,1,7,9.9,4793.3
138,3387,1492,529,64,5092,11,13,22,7,0.00,0,1,7,9.9,4829.6
139,4454,1487,594,71,5092,11,13,22,7,0.00,0,1,7,9.9,4864.0
140,3919,1480,554,65,5092,11,13,22,7,0.00,0,1,7,9.9,4898.9
141,4727,1502,536,67,5092,11,13,22,7,0.00,0,1,7,9.9,4934.3
142,3687,1465,785,58,5092,11,13,22,7,0.00,0,1,7,9.9,4970.5
143,4105,1485,551,62,5092,11,13,22,7,0.00,0,1,7,9.9,5006.3
144,3854,1555,493,75,5092,11,13,22,7,0.00,0,1,7,9.9,5042.0
145,3269,1479,687,59,5092,11,13,22,7,0.00,0,1,7,9.9,5079.0
146,4136,1563,553,74,5092,11,13,22,7,0.00,0,1,7,9.9,5117.5
147,3200,1401,527,50,5092,11,13,22,7,0.00,0,1,7,9.9,5154.6
148,3276,1446,464,62,5092,11,13,22,7,0.00,0,1,7,9.9,5189.1
149,4054,1401,457,61,5092,11,13,22,7,0.00,0,1,7,9.9,5222.5
150,3865,1421,434,64,5092,11,13,22,7,0.00,0,1,7,9.9,5255.3
151,3163,1427,542,61,5092,11,13,22,7,0.00,0,1,7,9.9,5289.2
152,3330,1364,226,53,5092,11,13,22,7,0.00,0,1,7,9.9,5322.5
153,4014,1481,445,68,5092,11,13,22,7,0.00,0,1,7,9.9,5356.6
154,3653,1521,593,74,5092,11,13,22,7,0.00,0,1,7,9.9,5391.1
155,3782,1446,499,58,5092,11,13,22,7,0.00,0,1,7,9.9,5426.2
156,3885,1413,572,49,5092,11,13,22,7,0.00,0,1,7,9.9,5464.0
157,3963,1500,525,72,5092,11,13,22,7,0.00,0,1,7,9.9,5500.3
158,3819,1468,479,70,5092,11,13,22,7,0.00,0,1,7,9.9,5534.7
159,3950,1519,549,71,5092,11,13,22,7,0.00,0,1,7,9.9,5569.7
160,3952,1577,578,84,5092,11,13,22,7,0.00,0,1,7,9.9,5604.3
161,3810,1528,530,75,5092,11,13,22,7,0.00,0,1,7,9.9,5638.5
162,4509,1446,350,66,5092,11,13,22,7,0.00,0,1,7,9.9,5672.3
163,3652,1449,476,65,5092,11,13,22,7,0.00,0,1,7,9.9,5706.3
164,3364,1390,468,52,5092,11,13,22,7,0.00,0,1,7,9.9,5740.7
165,3853,1555,666,70,5092,11,13,22,7,0.00,0,1,7,9.9,5777.3
166,4124,1602,558,78,5092,11,13,22,7,0.00,0,1,7,9.9,5815.5
167,4851,1584,474,80,5092,11,13,22,7,0.00,0,1,7,9.9,5853.2
168,3553,1461,456,62,5092,11,13,22,7,0.00,0,1,7,9.9,5889.6
169,4226,1512,470,72,5092,11,13,22,7,0.00,0,1,7,9.9,5924.7
170,3260,1467,370,62,5092,11,13,22,7,0.00,0,1,7,9.9,5959.8
171,3908,1363,485,46,5092,11,13,22,7,0.00,0,1,7,9.9,5994.3
172,3169,1518,465,71,5092,11,13,22,7,0.00,0,1,7,9.9,6029.6
173,3293,1490,430,66,5092,11,13,22,7,0.00,0,1,7,9.9,6064.9
174,3901,1452,422,63,5092,11,13,22,7,0.00,0,1,7,9.9,6099.7
175,4015,1436,437,59,5092,11,13,22,7,0.00,0,1,7,9.9,6134.5
176,3322,1459,559,61,5092,11,13,22,7,0.00,0,1,7,9.9,6171.0
177,3792,1431,659,57,5092,11,13,22,7,0.00,0,1,7,9.9,6208.0
178,3524,1424,429,57,5092,11,13,22,7,0.00,0,1,7,9.9,6245.1
179,3329,1360,423,48,5092,11,13,22,7,0.00,0,1,7,9.9,6279.9
180,3369,1358,414,47,5092,11,13,22,7,0.00,0,1,7,9.9,6315.1
181,3036,1362,431,48,5092,11,13,22,7,0.00,0,1,7,9.9,6349.8
182,3272,1366,504,50,5092,11,13,22,7,0.00,0,1,7,9.9,6384.8
183,4765,1446,660,60,5092,11,13,22,7,0.00,0,1,7,9.9,6420.5
184,2494,1357,566,43,5092,11,13,22,7,0.00,0,1,7,9.9,6456.4
185,3895,1442,551,56,5092,11,13,22,7,0.00,0,1,7,9.9,6493.1
186,3668,1491,585,63,5092,11,13,22,7,0.00,0,1,7,9.9,6532.3
187,3185,1292,563,33,5092,11,13,22,7,0.00,0,1,7,9.9,6570.1
188,3792,1441,554,56,5092,11,13,22,7,0.00,0,1,7,9.9,6608.1
189,3168,1492,558,64,5092,11,13,22,7,0.00,0,1,7,9.9,6644.5
190,3996,1440,628,54,5092,11,13,22,7,0.00,0,1,7,9.9,6681.3
191,4184,1497,358,67,5092,11,13,22,7,0.00,0,1,7,9.9,6717.6
192,3874,1418,485,54,5092,11,13,22,7,0.00,0,1,7,9.9,6753.5
193,3164,1382,607,55,5092,11,13,22,7,0.00,0,1,7,9.9,6788.3
194,3081,1392,599,53,5092,11,13,22,7,0.00,0,1,7,9.9,6823.8
195,3366,1514,523,72,5092,11,13,22,7,0.00,0,1,7,9.9,6859.7
196,3866,1502,439,71,5092,11,13,22,7,0.00,0,1,7,9.9,6898.0
197,3377,1446,513,61,5092,11,13,22,7,0.00,0,1,7,9.9,6936.0
198,3983,1467,510,62,5092,11,13,22,7,0.00,0,1,7,9.9,6974.1
199,3293,1477,616,58,5092,11,13,22,7,0.00,0,1,7,9.9,7011.8
